Country	Subnational Unit	teak	eucalyptus	other broadleaf	oak	pine	other conifer	Natural Regeneration	Mangrove Restoration - tree	Mangrove Restoration - shrub	Agroforestry	Average FLR 20y	Average plantation	Average mangrove	Coastal	NatRegen
United_Arab_Emirates	Ajman	3.5	10.6	2.9	5	5.7	10.5	2.8	6.3	1.8	3.8	5.289999999999999	6.366666666666667	4.05	1	1
United_Arab_Emirates	Abu Dhabi	3.5	10.6	2.9	5	5.7	10.5	2.8	6.3	1.8	3.8	5.289999999999999	6.366666666666667	4.05	1	1
United_Arab_Emirates	Dubay	3.5	10.6	2.9	5	5.7	10.5	2.8	6.3	1.8	3.8	5.289999999999999	6.366666666666667	4.05	1	1
United_Arab_Emirates	Fujayrah	3.5	10.6	2.9	5	5.7	10.5	2.8	6.3	1.8	3.8	5.289999999999999	6.366666666666667	4.05	1	1
United_Arab_Emirates	Neutral Zone	3.5	10.6	2.9	5	5.7	10.5	2.8	N/A	N/A	3.8	5.6	6.366666666666667	0	0	1
United_Arab_Emirates	Ras Al Khaymah	3.5	10.6	2.9	5	5.7	10.5	2.8	6.3	1.8	3.8	5.289999999999999	6.366666666666667	4.05	1	1
United_Arab_Emirates	Sharjah	3.5	10.6	2.9	5	5.7	10.5	2.8	6.3	1.8	3.8	5.289999999999999	6.366666666666667	4.05	1	1
United_Arab_Emirates	Umm Al Qaywayn	3.5	10.6	2.9	5	5.7	10.5	2.8	6.3	1.8	3.8	5.289999999999999	6.366666666666667	4.05	1	1
Afghanistan	Badakhshan	N/A	N/A	2.2	N/A	2.8	1.2	N/A	N/A	N/A	3.8	2.5	2.066666666666667	0	0	0
Afghanistan	Badghis	N/A	10.3	3.2	1.5	2.1	1.7	2.8	N/A	N/A	3.8	3.628571428571429	3.7600000000000002	0	0	1
Afghanistan	Balkh	N/A	10.3	3.2	1.5	2.1	1.7	2.8	N/A	N/A	3.8	3.628571428571429	3.7600000000000002	0	0	1
Afghanistan	Baghlan	N/A	N/A	2.2	N/A	2.8	1.2	N/A	N/A	N/A	3.8	2.5	2.066666666666667	0	0	0
Afghanistan	Bamyan	N/A	10.3	3.2	1.5	2.1	1.7	2.8	N/A	N/A	3.8	3.628571428571429	3.7600000000000002	0	0	1
Afghanistan	Daykundi	N/A	N/A	2.2	N/A	2.8	1.2	N/A	N/A	N/A	3.8	2.5	2.066666666666667	0	0	0
Afghanistan	Faryab	N/A	10.3	3.2	1.5	2.1	1.7	2.8	N/A	N/A	3.8	3.628571428571429	3.7600000000000002	0	0	1
Afghanistan	Farah	3.5	10.6	2.9	5	5.7	10.5	2.8	N/A	N/A	3.8	5.6	6.366666666666667	0	0	1
Afghanistan	Ghor	N/A	N/A	2.2	N/A	2.8	1.2	N/A	N/A	N/A	3.8	2.5	2.066666666666667	0	0	0
Afghanistan	Ghazni	N/A	N/A	2.2	N/A	2.8	1.2	N/A	N/A	N/A	3.8	2.5	2.066666666666667	0	0	0
Afghanistan	Hilmand	3.5	10.6	2.9	5	5.7	10.5	2.8	N/A	N/A	3.8	5.6	6.366666666666667	0	0	1
Afghanistan	Hirat	N/A	10.3	3.2	1.5	2.1	1.7	2.8	N/A	N/A	3.8	3.628571428571429	3.7600000000000002	0	0	1
